,datetime,personal,heavy_goods
477,2023-01-20 21:00:00+00:00,493,44
478,2023-01-20 22:00:00+00:00,378,35
479,2023-01-20 23:00:00+00:00,214,25
480,2023-01-21 00:00:00+00:00,172,19
481,2023-01-21 01:00:00+00:00,78,17
482,2023-01-21 02:00:00+00:00,76,13
483,2023-01-21 03:00:00+00:00,65,23
484,2023-01-21 04:00:00+00:00,63,19
485,2023-01-21 05:00:00+00:00,83,36
486,2023-01-21 06:00:00+00:00,240,49
487,2023-01-21 07:00:00+00:00,351,77
488,2023-01-21 08:00:00+00:00,591,118
489,2023-01-21 09:00:00+00:00,873,128
490,2023-01-21 10:00:00+00:00,1079,107
491,2023-01-21 11:00:00+00:00,1378,135
492,2023-01-21 12:00:00+00:00,1520,114
493,2023-01-21 13:00:00+00:00,1554,138
494,2023-01-21 14:00:00+00:00,1566,118
495,2023-01-21 15:00:00+00:00,1425,100
496,2023-01-21 16:00:00+00:00,1432,97
497,2023-01-21 17:00:00+00:00,1394,90
498,2023-01-21 18:00:00+00:00,1137,75
499,2023-01-21 19:00:00+00:00,928,63
500,2023-01-21 20:00:00+00:00,624,32
501,2023-01-21 21:00:00+00:00,433,19
502,2023-01-21 22:00:00+00:00,298,18
503,2023-01-21 23:00:00+00:00,258,21
504,2023-01-22 00:00:00+00:00,183,20
505,2023-01-22 01:00:00+00:00,124,16
506,2023-01-22 02:00:00+00:00,87,14
507,2023-01-22 03:00:00+00:00,60,11
508,2023-01-22 04:00:00+00:00,51,7
509,2023-01-22 05:00:00+00:00,81,6
510,2023-01-22 06:00:00+00:00,116,14
511,2023-01-22 07:00:00+00:00,206,17
512,2023-01-22 08:00:00+00:00,343,32
513,2023-01-22 09:00:00+00:00,498,43
514,2023-01-22 10:00:00+00:00,674,54
515,2023-01-22 11:00:00+00:00,1001,50
516,2023-01-22 12:00:00+00:00,1261,69
517,2023-01-22 13:00:00+00:00,1468,85
518,2023-01-22 14:00:00+00:00,1406,73
519,2023-01-22 15:00:00+00:00,1378,71
520,2023-01-22 16:00:00+00:00,1366,71
521,2023-01-22 17:00:00+00:00,1288,48
522,2023-01-22 18:00:00+00:00,1164,67
523,2023-01-22 19:00:00+00:00,827,58
524,2023-01-22 20:00:00+00:00,582,52
525,2023-01-22 21:00:00+00:00,410,26
526,2023-01-22 22:00:00+00:00,282,15
527,2023-01-22 23:00:00+00:00,136,14
528,2023-01-23 00:00:00+00:00,109,13
529,2023-01-23 01:00:00+00:00,47,8
530,2023-01-23 02:00:00+00:00,37,13
531,2023-01-23 03:00:00+00:00,42,21
532,2023-01-23 04:00:00+00:00,70,32
533,2023-01-23 05:00:00+00:00,202,81
534,2023-01-23 06:00:00+00:00,757,210
535,2023-01-23 07:00:00+00:00,1586,326
536,2023-01-23 08:00:00+00:00,1802,351
537,2023-01-23 09:00:00+00:00,1081,324
538,2023-01-23 10:00:00+00:00,826,237
539,2023-01-23 11:00:00+00:00,888,241
540,2023-01-23 12:00:00+00:00,955,250
541,2023-01-23 13:00:00+00:00,973,213
542,2023-01-23 14:00:00+00:00,1025,285
543,2023-01-23 15:00:00+00:00,1324,275
544,2023-01-23 16:00:00+00:00,1605,340
545,2023-01-23 17:00:00+00:00,1790,242
546,2023-01-23 18:00:00+00:00,1202,142
547,2023-01-23 19:00:00+00:00,813,96
548,2023-01-23 20:00:00+00:00,572,64
549,2023-01-23 21:00:00+00:00,349,48
550,2023-01-23 22:00:00+00:00,227,28
551,2023-01-23 23:00:00+00:00,129,24
552,2023-01-24 00:00:00+00:00,89,16
553,2023-01-24 01:00:00+00:00,25,13
554,2023-01-24 02:00:00+00:00,43,14
555,2023-01-24 03:00:00+00:00,41,30
556,2023-01-24 04:00:00+00:00,75,34
557,2023-01-24 05:00:00+00:00,213,104
558,2023-01-24 06:00:00+00:00,707,207
559,2023-01-24 07:00:00+00:00,1556,346
560,2023-01-24 08:00:00+00:00,1865,361
561,2023-01-24 09:00:00+00:00,1142,319
562,2023-01-24 10:00:00+00:00,880,306
563,2023-01-24 11:00:00+00:00,793,268
564,2023-01-24 12:00:00+00:00,863,274
565,2023-01-24 13:00:00+00:00,1019,279
566,2023-01-24 14:00:00+00:00,1055,280
567,2023-01-24 15:00:00+00:00,1344,346
568,2023-01-24 16:00:00+00:00,1588,336
569,2023-01-24 17:00:00+00:00,1811,259
570,2023-01-24 18:00:00+00:00,1329,147
571,2023-01-24 19:00:00+00:00,943,99
572,2023-01-24 20:00:00+00:00,602,68
573,2023-01-24 21:00:00+00:00,390,44
574,2023-01-24 22:00:00+00:00,259,29
575,2023-01-24 23:00:00+00:00,121,17
576,2023-01-25 00:00:00+00:00,63,17
577,2023-01-25 01:00:00+00:00,45,14
578,2023-01-25 02:00:00+00:00,47,23
579,2023-01-25 03:00:00+00:00,40,22
580,2023-01-25 04:00:00+00:00,61,49
581,2023-01-25 05:00:00+00:00,229,104
582,2023-01-25 06:00:00+00:00,706,221
583,2023-01-25 07:00:00+00:00,1629,361
584,2023-01-25 08:00:00+00:00,1894,356
585,2023-01-25 09:00:00+00:00,1135,328
586,2023-01-25 10:00:00+00:00,892,291
587,2023-01-25 11:00:00+00:00,848,243
588,2023-01-25 12:00:00+00:00,984,261
589,2023-01-25 13:00:00+00:00,1220,252
590,2023-01-25 14:00:00+00:00,1100,238
591,2023-01-25 15:00:00+00:00,1265,275
592,2023-01-25 16:00:00+00:00,1638,336
593,2023-01-25 17:00:00+00:00,1765,239
594,2023-01-25 18:00:00+00:00,1349,174
